layer, center, hexagon,,,,,,, binCount, mdtCount, population
2,POINT (105.84617572262633 21.026855602734702),POLYGON ((105.84728826227104 21.02865423985265, 105.84840077506439 21.02685558826497, 105.84728823542083 21.02505695838189, 105.8450632098318 21.02505695838189, 105.84395067018825 21.02685558826497, 105.8450631829816 21.02865423985265, 105.84728826227104 21.02865423985265)),2,2,0.568888889
2,POINT (105.84283810369261 21.021459647966402),POLYGON ((105.8439506030639 21.02325828508537, 105.84506307559236 21.02145963350074, 105.84395057622223 21.019661003614605, 105.84172563116299 21.019661003614605, 105.84061313179285 21.02145963350074, 105.8417256043213 21.02325828508537, 105.8439506030639 21.02325828508537)),0,null,null
2,POINT (105.86620087261929 21.02325858172694),POLYGON ((105.86731338541574 21.02505721884557, 105.8684258713665 21.023258567259923, 105.86731335857121 21.021459937374807, 105.86508838666734 21.021459937374807, 105.86397587387205 21.023258567259923, 105.86508835982282 21.02505721884557, 105.86731338541574 21.02505721884557)),0,null,null
2,POINT (105.84951326110038 21.039446185574647),POLYGON ((105.85062589476628 21.04124482269022, 105.85173850156093 21.039446171095417, 105.8506258678962 21.037647541219453, 105.84840065430456 21.037647541219453, 105.84728802063981 21.039446171095417, 105.84840062743446 21.04124482269022, 105.85062589476628 21.04124482269022)),4,4,279.4333117
3,POINT (105.84172608792211 21.02325825615389),POLYGON ((105.84283860071616 21.025056893272517, 105.8439510866645 21.02325824168687, 105.84283857387163 21.021459611801756, 105.84061360197263 21.021459611801756, 105.83950108917976 21.02325824168687, 105.8406135751281 21.025056893272517, 105.84283860071616 21.025056893272517)),1,3,133.2571429
3,POINT (105.85173878365185 21.021459713087793),POLYGON ((105.85285128302365 21.023258350206756, 105.85396375555258 21.021459698622134, 105.85285125618196 21.019661068736, 105.85062631112176 21.019661068736, 105.84951381175114 21.021459698622134, 105.85062628428008 21.023258350206756, 105.85285128302365 21.023258350206756)),5,8,104.3439843
3,POINT (105.85841365909421 21.02145977818024),POLYGON ((105.85952615846647 21.0232584152992, 105.86063863099591 21.02145976371457, 105.85952613162479 21.01966113382844, 105.8573011865636 21.01966113382844, 105.8561886871925 21.02145976371457, 105.85730115972193 21.0232584152992, 105.85952615846647 21.0232584152992)),2,2,36.76069524
3,POINT (105.85173769600651 21.035849164572987),POLYGON ((105.85285030280426 21.037647801689236, 105.85396288273645 21.03584915009647, 105.85285027593986 21.03405052021848, 105.85062511607315 21.03405052021848, 105.84951250927655 21.03584915009647, 105.85062508920875 21.037647801689236, 105.85285030280426 21.037647801689236)),6,10,278.5071352
3,POINT (105.84840128553694 21.030452884212835),POLYGON ((105.84951385203753 21.032251521330107, 105.8506263916811 21.030452869740394, 105.84951382518166 21.028654239859346, 105.84728874589221 21.028654239859346, 105.84617617939277 21.030452869740394, 105.84728871903634 21.032251521330107, 105.84951385203753 21.032251521330107)),3,4,120.0449438
3,POINT (105.86175139884821 21.01966123511462),POLYGON ((105.86286388479968 21.021459872233926, 105.86397634391113 21.019661220650313, 105.86286385796083 21.017862590763162, 105.86063893973562 21.017862590763162, 105.85952645378534 21.019661220650313, 105.86063891289679 21.021459872233926, 105.86286388479968 21.021459872233926)),4,11,112.0140559
3,POINT (105.85507620124173 21.026855732936323),POLYGON ((105.85618874088742 21.02865437005427, 105.85730125368175 21.02685571846659, 105.85618871403722 21.02505708858351, 105.85396368844626 21.02505708858351, 105.85285114880172 21.02685571846659, 105.85396366159605 21.02865437005427, 105.85618874088742 21.02865437005427)),0,null,null
3,POINT (105.85841386046076 21.025057124765567),POLYGON ((105.85952638668088 21.026855761883855, 105.86063888605248 21.02505711029719, 105.85952635983352 21.02325848041309, 105.857301361088 21.02325848041309, 105.85618883486904 21.02505711029719, 105.85730133424065 21.026855761883855, 105.85952638668088 21.026855761883855)),1,1,0.214285714
3,POINT (105.86175119750294 21.03045314463595),POLYGON ((105.86286376400547 21.032251781753228, 105.86397630365097 21.03045313016351, 105.8628637371496 21.028654500282464, 105.86063865785626 21.028654500282464, 105.85952609135488 21.03045313016351, 105.86063863100038 21.032251781753228, 105.86286376400547 21.032251781753228)),1,1,90.90322581
3,POINT (105.85841345770477 21.03944638088446),POLYGON ((105.85952609137213 21.04124501800003, 105.86063869816823 21.039446366405226, 105.85952606450203 21.037647736529262, 105.85730085090749 21.037647736529262, 105.85618821724128 21.039446366405226, 105.85730082403738 21.04124501800003, 105.85952609137213 21.04124501800003)),0,null,null
3,POINT (105.84840128553694 21.03764744715493),POLYGON ((105.84951390576637 21.039446084270843, 105.85062649912737 21.03764743267706, 105.84951387889912 21.03584880280008, 105.84728869217476 21.03584880280008, 105.8461760719465 21.03764743267706, 105.8472886653075 21.039446084270843, 105.84951390576637 21.039446084270843)),5,6,446.7490701
